,entry_date,exit_date,entry_price,exit_price,quantity,side,pnl,exit_reason
0,2024-09-02,2024-10-03,1083.39,1027.29,10,BUY,-561.0000000000014,STOP_LOSS
1,2024-10-03,2024-10-09,1027.29,1042.43,10,BUY,151.400000000001,SIGNAL
2,2025-01-15,2025-01-20,906.55,922.09,10,BUY,155.40000000000077,SIGNAL
3,2025-03-11,2025-04-18,950.75,902.74,10,BUY,-480.0999999999999,STOP_LOSS
4,2025-04-18,2025-04-21,902.74,898.58,10,BUY,-41.59999999999968,SIGNAL
5,2025-05-12,2025-05-21,967.02,910.78,10,BUY,-562.4000000000001,STOP_LOSS
6,2025-05-21,2025-05-23,910.78,894.62,10,BUY,-161.59999999999968,SIGNAL
7,2025-07-15,2025-08-15,943.83,878.86,10,BUY,-649.7000000000003,STOP_LOSS
8,2025-08-15,2025-08-19,878.86,906.6,10,BUY,277.4000000000001,SIGNAL
9,2025-09-04,2025-11-27,972.27,1075.87,10,BUY,1035.999999999999,TAKE_PROFIT
10,2025-11-27,2025-12-23,1075.87,1020.54,10,BUY,-553.2999999999993,STOP_LOSS
11,2025-12-23,2025-12-29,1020.54,1033.12,10,BUY,125.79999999999927,SIGNAL
12,2026-03-24,2026-04-03,1031.44,977.87,10,BUY,-535.7000000000005,STOP_LOSS
13,2026-04-03,2026-04-16,977.87,977.72,10,BUY,-1.4999999999997726,SIGNAL
