Date,Open,High,Low,Close,Volume
2024-06-25,985.18,1013.03,978.48,1004.87,379865
2024-06-26,1007.21,1019.03,972.98,989.5,109654
2024-06-27,993.41,1002.64,991.69,1000.93,852673
2024-06-28,1009.08,1028.23,994.42,1015.35,227436
2024-07-01,1022.48,1024.21,980.68,985.94,490401
2024-07-02,993.66,995.47,962.12,966.98,140184
2024-07-03,959.41,974.61,953.21,969.13,543960
2024-07-04,965.31,986.67,947.49,964.82,684234
2024-07-05,963.6,965.43,962.46,964.87,585574
2024-07-08,968.06,971.29,948.32,952.81,866813
2024-07-09,952.39,968.64,948.48,965.66,406531
2024-07-10,961.37,978.19,960.64,977.22,259755
2024-07-11,981.62,984.0,968.26,978.48,503386
2024-07-12,979.4,999.77,970.27,995.32,732730
2024-07-15,996.26,1017.83,983.53,1002.6,785289
2024-07-16,1004.42,1039.15,960.43,989.97,880121
2024-07-17,993.51,1012.22,974.34,995.75,688692
2024-07-18,1003.77,1011.52,967.56,981.72,774985
2024-07-19,979.64,1000.69,959.38,994.95,540729
2024-07-22,999.0,1002.54,992.6,994.51,814313
2024-07-23,1000.85,1008.71,983.27,992.05,840324
2024-07-24,994.27,1000.21,975.08,982.21,707775
2024-07-25,975.22,1006.5,969.92,1000.52,820784
2024-07-26,1001.73,1008.14,990.35,998.5,104050
2024-07-29,999.84,1001.91,987.58,992.39,906071
2024-07-30,999.15,1012.74,980.07,987.44,868010
2024-07-31,985.44,1010.59,973.3,995.62,897901
2024-08-01,990.08,1005.5,983.34,1001.38,826688
2024-08-02,1011.66,1013.02,1007.07,1007.88,617384
2024-08-05,999.16,1017.03,997.66,1014.69,220930
2024-08-06,1023.16,1053.87,1019.44,1047.59,507951
2024-08-07,1048.52,1058.68,1023.2,1041.52,776766
2024-08-08,1036.82,1041.69,1031.77,1033.83,392808
2024-08-09,1036.32,1042.68,1016.14,1021.52,688095
2024-08-12,1017.88,1040.6,1011.27,1031.27,886882
2024-08-13,1033.25,1054.55,1027.79,1049.04,494547
